issue,publication_date,introduction,mixtape,next_broadcast_on,next_broadcast,seen_and_heard_title,seen_and_heard_url,on_deck,also
1,"June 4, 2021","Welcome to the premier issue of The Lacking Details, your weekly guide to the music that has been catching my attention and shaking it like a youthful dachshund with a favorite chew toy. There's a handful of reviews, a new Mixtape, some information on my next live broadcast, and some odds and ends to close things out.

I hope you enjoy this format, you can let me know your thoughts and suggestions by replying to this newsletter.

If you received this as a forward, you can subscribe now to get your own future copies. On with the show!",,,,,,,
2,,,,,,,,,
3,,,,,,,,,
4,,,,,,,,,
5,,,,,,,,,
6,,,,,,,,,
7,,,,,,,,,
8,,,,,,,,,
9,,,,,,,,,
10,,,,,,,,,
11,,,,,,,,,
12,,,,,,,,,
13,,,,,,,,,
14,,,,,,,,,
15,,,,,,,,,
16,,,,,,,,,