published,airdate,airtime,duration,episode,name,description,audio_file,bytes,explicit,block,image,caption,source
no,2008-09-09,22:00,02:00:00,,"Playlist for September 9, 2008",,,,no,no,,,wfit
no,2008-09-16,22:00,02:00:00,,"Playlist for September 16, 2008",,,,no,no,,,wfit
no,2008-09-23,22:00,02:00:00,,"Playlist for September 23, 2008",,,,no,no,,,wfit
no,2008-09-30,22:00,02:00:00,,"Playlist for September 30, 2008",,,,no,no,,,wfit
no,2008-10-07,22:00,02:00:00,,"Playlist for October 7, 2008",,,,no,no,,,wfit
no,2008-10-14,22:00,02:00:00,,"Playlist for October 14, 2008",,,,no,no,,,wfit
no,2008-10-21,22:00,02:00:00,,"Playlist for October 21, 2008",,,,no,no,,,wfit
no,2008-10-28,22:00,02:00:00,,"Playlist for October 28, 2008",,,,no,no,,,wfit
no,2008-11-04,22:00,02:00:00,,"Playlist for November 4, 2008",,,,no,no,,,wfit
no,2008-11-11,22:00,02:00:00,,"Playlist for November 11, 2008",,,,no,no,,,wfit
no,2008-11-18,22:00,02:00:00,,"Playlist for November 18, 2008",,,,no,no,,,wfit
no,2008-11-25,22:00,02:00:00,,"Playlist for November 25, 2008",,,,no,no,,,wfit
no,2008-12-02,22:00,02:00:00,,"Playlist for December 2, 2008",,,,no,no,,,wfit
no,2008-12-09,22:00,02:00:00,,"Playlist for December 9, 2008",,,,no,no,,,wfit
no,2008-12-16,22:00,02:00:00,,"Playlist for December 16, 2008",,,,no,no,,,wfit
no,2008-12-23,22:00,02:00:00,,"Playlist for December 23, 2008",,,,no,no,,,wfit
no,2008-12-30,22:00,02:00:00,,"Playlist for December 30, 2008",,,,no,no,,,wfit
no,2009-01-06,22:00,02:00:00,,"Playlist for January 6, 2009",,,,no,no,,,wfit
no,2009-01-13,22:00,02:00:00,,"Playlist for January 13, 2009",,,,no,no,,,wfit
no,2009-01-20,22:00,02:00:00,,"Playlist for January 20, 2009",,,,no,no,,,wfit
no,2009-01-27,22:00,02:00:00,,"Playlist for January 27, 2009",,,,no,no,,,wfit
no,2009-02-03,22:00,02:00:00,,"Playlist for February 3, 2009",,,,no,no,,,wfit
no,2009-02-10,22:00,02:00:00,,"Playlist for February 10, 2009",,,,no,no,,,wfit
no,2009-02-17,22:00,02:00:00,,"Playlist for February 17, 2009",,,,no,no,,,wfit
no,2009-02-24,22:00,02:00:00,,"Playlist for February 24, 2009",,,,no,no,,,wfit
no,2009-03-03,22:00,02:00:00,,"Playlist for March 3, 2009",,,,no,no,,,wfit
no,2009-03-10,22:00,02:00:00,,"Playlist for March 10, 2009",,,,no,no,,,wfit
no,2009-03-17,22:00,02:00:00,,"Playlist for March 17, 2009",,,,no,no,,,wfit
no,2009-03-24,22:00,02:00:00,,"Playlist for March 24, 2009",,,,no,no,,,wfit
no,2009-03-28,00:00,,0001,Quiver Of Grain,,,,no,no,,,podcast
no,2009-03-31,00:00,,0002,Que Onda Guero,,,,no,no,,,podcast
no,2009-03-31,22:00,02:00:00,,"Playlist for March 31, 2009",,,,no,no,,,wfit
no,2009-04-04,00:00,,0003,I Got A Message For You,,,,no,no,,,podcast
no,2009-04-07,00:00,,0004,My Heart Beats,,,,no,no,,,podcast
no,2009-04-07,22:00,02:00:00,,"Playlist for April 7, 2009",,,,no,no,,,wfit
no,2009-04-11,00:00,,0005,Tortapapir,,,,no,no,,,podcast
no,2009-04-14,00:00,,0006,Im Your Mom,,,,no,no,,,podcast
no,2009-04-14,22:00,02:00:00,,"Playlist for April 14, 2009",,,,no,no,,,wfit
no,2009-04-18,00:00,,0007,How Do You Work This Thing,,,,no,no,,,podcast
no,2009-04-21,00:00,,0008,The 59,,,,no,no,,,podcast
no,2009-04-21,22:00,02:00:00,,"Playlist for April 21, 2009",,,,no,no,,,wfit
no,2009-04-28,22:00,02:00:00,,"Playlist for April 28, 2009",,,,no,no,,,wfit
no,2009-05-05,00:00,,0009,K155 M3,,,,no,no,,,podcast
no,2009-05-05,22:00,02:00:00,,"Playlist for May 5, 2009",,,,no,no,,,wfit
no,2009-05-09,00:00,,0010,Sandlot Shuffle,,,,no,no,,,podcast
no,2009-05-12,22:00,02:00:00,,"Playlist for May 12, 2009",,,,no,no,,,wfit
no,2009-05-13,22:00,02:00:00,,"Playlist for May 13, 2009",,,,no,no,,,wfit
no,2009-05-19,22:00,02:00:00,,"Playlist for May 19, 2009",,,,no,no,,,wfit
no,2009-05-26,22:00,02:00:00,,"Playlist for May 26, 2009",,,,no,no,,,wfit
no,2009-06-02,22:00,02:00:00,,"Playlist for June 2, 2009",,,,no,no,,,wfit
no,2009-06-09,22:00,02:00:00,,"Playlist for June 9, 2009",,,,no,no,,,wfit
no,2009-06-16,22:00,02:00:00,,"Playlist for June 16, 2009",,,,no,no,,,wfit
no,2009-06-23,22:00,02:00:00,,"Playlist for June 23, 2009",,,,no,no,,,wfit
no,2009-06-30,22:00,02:00:00,,"Playlist for June 30, 2009",,,,no,no,,,wfit
no,2009-07-07,22:00,02:00:00,,"Playlist for July 7, 2009",,,,no,no,,,wfit
no,2009-07-14,22:00,02:00:00,,"Playlist for July 14, 2009",,,,no,no,,,wfit
no,2009-07-21,22:00,02:00:00,,"Playlist for July 21, 2009",,,,no,no,,,wfit
no,2009-07-28,22:00,02:00:00,,"Playlist for July 28, 2009",,,,no,no,,,wfit
no,2009-08-04,22:00,02:00:00,,"Playlist for August 4, 2009",,,,no,no,,,wfit
no,2009-08-06,00:00,,0011,Slave Labor,,,,no,no,,,podcast
no,2009-08-08,00:00,,0012,Under Wraps,,,,no,no,,,podcast
no,2009-08-11,22:00,02:00:00,,"Playlist for August 11, 2009",,,,no,no,,,wfit
no,2009-08-13,00:00,,0013,Polite Dance Song,,,,no,no,,,podcast
no,2009-08-16,00:00,,0014,Ukulele Lady,,,,no,no,,,podcast
no,2009-08-18,22:00,02:00:00,,"Playlist for August 18, 2009",,,,no,no,,,wfit
no,2009-08-20,00:00,,0015,Siberia,,,,no,no,,,podcast
no,2009-08-23,00:00,,0016,Disko Partizani,,,,no,no,,,podcast
no,2009-08-25,22:00,02:00:00,,"Playlist for August 25, 2009",,,,no,no,,,wfit
no,2009-08-28,00:00,,0017,Clockout,,,,no,no,,,podcast
no,2009-09-01,22:00,02:00:00,,"Playlist for September 1, 2009",,,,no,no,,,wfit
no,2009-09-04,00:00,,0018,Alocatel,,,,no,no,,,podcast
no,2009-09-08,00:00,,0022,Real Good,,real-good,,no,no,,,podcast
no,2009-09-08,00:00,,0022,Real Good,,real-good,,no,no,,,podcast
no,2009-09-08,22:00,02:00:00,,"Playlist for September 8, 2009",,,,no,no,,,wfit
no,2009-09-11,00:00,,0020,Web In Front,,,,no,no,,,podcast
no,2009-09-15,00:00,,0021,Along The Way,,,,no,no,,,podcast
no,2009-09-15,22:00,02:00:00,,"Playlist for September 15, 2009",,,,no,no,,,wfit
no,2009-09-22,00:00,,0023,Something Better,,,,no,no,,,podcast
no,2009-09-22,22:00,02:00:00,,"Playlist for September 22, 2009",,,,no,no,,,wfit
no,2009-09-25,00:00,,0024,Back And Forth,,,,no,no,,,podcast
no,2009-09-29,22:00,02:00:00,,"Playlist for September 29, 2009",,,,no,no,,,wfit
no,2009-10-06,22:00,02:00:00,,"Playlist for October 6, 2009",,,,no,no,,,wfit
no,2009-10-13,22:00,02:00:00,,"Playlist for October 13, 2009",,,,no,no,,,wfit
no,2009-10-20,00:00,,0025,Propane,,,,no,no,,,podcast
no,2009-10-20,22:00,02:00:00,,"Playlist for October 20, 2009",,,,no,no,,,wfit
no,2009-10-27,22:00,02:00:00,,"Playlist for October 27, 2009",,,,no,no,,,wfit
no,2009-11-03,22:00,02:00:00,,"Playlist for November 3, 2009",,,,no,no,,,wfit
no,2009-11-10,22:00,02:00:00,,"Playlist for November 10, 2009",,,,no,no,,,wfit
no,2009-11-11,00:00,,0026,Silver Or Lead,,,,no,no,,,podcast
no,2009-11-13,00:00,,0027,Ranking Full Stop,,,,no,no,,,podcast
no,2009-11-17,00:00,,0028,The Rabbit,,,,no,no,,,podcast
no,2009-11-17,22:00,02:00:00,,"Playlist for November 17, 2009",,,,no,no,,,wfit
no,2009-11-20,00:00,,0029,Sticky Dew,,,,no,no,,,podcast
no,2009-11-24,00:00,,0030,Growin A Beard,,growin-a-beard,,no,no,,,podcast
no,2009-11-24,00:00,,0030,Growin A Beard,,growin-a-beard,,no,no,,,podcast
no,2009-11-27,00:00,,0031,La La La,,otro,,no,no,,,podcast
no,2009-11-27,00:00,,0031,La La La,,otro,,no,no,,,podcast
no,2009-12-01,22:00,02:00:00,,"Playlist for December 1, 2009",,,,no,no,,,wfit
no,2009-12-08,22:00,02:00:00,,"Playlist for December 8, 2009",,,,no,no,,,wfit
no,2009-12-15,22:00,02:00:00,,"Playlist for December 15, 2009",,,,no,no,,,wfit
no,2009-12-22,22:00,02:00:00,,"Playlist for December 22, 2009",,,,no,no,,,wfit
no,2009-12-24,00:00,,0032,Seasons Freakings,,,,no,no,,,podcast
no,2009-12-24,00:00,,0032,Seasons Freakings,,,,no,no,,,podcast
no,2009-12-29,22:00,02:00:00,,"Playlist for December 29, 2009",,,,no,no,,,wfit
no,2010-01-05,22:00,02:00:00,,"Playlist for January 5, 2010",,,,no,no,,,wfit
no,2010-01-12,22:00,02:00:00,,"Playlist for January 12, 2010",,,,no,no,,,wfit
no,2010-01-19,22:00,02:00:00,,"Playlist for January 19, 2010",,,,no,no,,,wfit
no,2010-01-26,22:00,02:00:00,,"Playlist for January 26, 2010",,,,no,no,,,wfit
no,2010-02-02,22:00,02:00:00,,"Playlist for February 2, 2010",,,,no,no,,,wfit
no,2010-02-08,00:00,,0033,El Clavo La Cruz,,el-clavo-la-cruz,,no,no,,,podcast
no,2010-02-08,00:00,,0033,El Clavo La Cruz,,el-clavo-la-cruz,,no,no,,,podcast
no,2010-02-09,22:00,02:00:00,,"Playlist for February 9, 2010",,,,no,no,,,wfit
no,2010-02-11,00:00,,0034,Old Fashioned Speed,,,,no,no,,,podcast
no,2010-02-11,00:00,,0034,Old Fashioned Speed,,,,no,no,,,podcast
no,2010-02-15,00:00,,0035,Hiker Atlas,,,,no,no,,,podcast
no,2010-02-15,00:00,,0035,Hiker Atlas,,,,no,no,,,podcast
no,2010-02-16,22:00,02:00:00,,"Playlist for February 16, 2010",,,,no,no,,,wfit
no,2010-02-18,00:00,,0036,Antifreeze,,,,no,no,,,podcast
no,2010-02-18,00:00,,0036,Antifreeze,,,,no,no,,,podcast
no,2010-02-22,00:00,,0037,You Told A Lie,,,,no,no,,,podcast
no,2010-02-22,00:00,,0037,You Told A Lie,,,,no,no,,,podcast
no,2010-02-23,22:00,02:00:00,,"Playlist for February 23, 2010",,,,no,no,,,wfit
no,2010-02-25,00:00,,0038,Doomsday,,,,no,no,,,podcast
no,2010-02-25,00:00,,0038,Doomsday,,,,no,no,,,podcast
no,2010-03-01,00:00,,0039,Under The Waves,,,,no,no,,,podcast
no,2010-03-01,00:00,,0039,Under The Waves,,,,no,no,,,podcast
no,2010-03-02,22:00,02:00:00,,"Playlist for March 2, 2010",,,,no,no,,,wfit
no,2010-03-04,00:00,,0040,Solid Gold,,,,no,no,,,podcast
no,2010-03-04,00:00,,0040,Solid Gold,,,,no,no,,,podcast
no,2010-03-08,00:00,,0041,Silence Is Golden,,,,no,no,,,podcast
no,2010-03-08,00:00,,0041,Silence Is Golden,,,,no,no,,,podcast
no,2010-03-09,22:00,02:00:00,,"Playlist for March 9, 2010",,,,no,no,,,wfit
no,2010-03-11,00:00,,0042,Your Mexican Restaurant,,,,no,no,,,podcast
no,2010-03-11,00:00,,0042,Your Mexican Restaurant,,,,no,no,,,podcast
no,2010-03-16,22:00,02:00:00,,"Playlist for March 16, 2010",,,,no,no,,,wfit
no,2010-03-23,22:00,02:00:00,,"Playlist for March 23, 2010",,,,no,no,,,wfit
no,2010-03-29,00:00,,0043,Donkey For Your Love,,,,no,no,,,podcast
no,2010-03-29,00:00,,0043,Donkey For Your Love,,,,no,no,,,podcast
no,2010-03-30,22:00,02:00:00,,"Playlist for March 30, 2010",,,,no,no,,,wfit
no,2010-04-01,00:00,,0044,Kid On My Shoulders,,,,no,no,,,podcast
no,2010-04-01,00:00,,0044,Kid On My Shoulders,,,,no,no,,,podcast
no,2010-04-05,00:00,,0045,Update Your Blog,,,,no,no,,,podcast
no,2010-04-05,00:00,,0045,Update Your Blog,,,,no,no,,,podcast
no,2010-04-06,22:00,02:00:00,,"Playlist for April 6, 2010",,,,no,no,,,wfit
no,2010-04-08,00:00,,0046,Mexican Hit Squad,,,,no,no,,,podcast
no,2010-04-08,00:00,,0046,Mexican Hit Squad,,,,no,no,,,podcast
no,2010-04-12,00:00,,0047,Nonsensical,,,,no,no,,,podcast
no,2010-04-12,00:00,,0047,Nonsensical,,,,no,no,,,podcast
no,2010-04-13,22:00,02:00:00,,"Playlist for April 13, 2010",,,,no,no,,,wfit
no,2010-04-15,00:00,,0048,We Came To Score,,,,no,no,,,podcast
no,2010-04-15,00:00,,0048,We Came To Score,,,,no,no,,,podcast
no,2010-04-19,00:00,,0049,The Bank And Trust,,,,no,no,,,podcast
no,2010-04-19,00:00,,0049,The Bank And Trust,,,,no,no,,,podcast
no,2010-04-20,22:00,02:00:00,,"Playlist for April 20, 2010",,,,no,no,,,wfit
no,2010-04-22,00:00,,0050,Some Like It Hot,,,,no,no,,,podcast
no,2010-04-22,00:00,,0050,Some Like It Hot,,,,no,no,,,podcast
no,2010-04-27,22:00,02:00:00,,"Playlist for April 27, 2010",,,,no,no,,,wfit
no,2010-05-04,22:00,02:00:00,,"Playlist for May 4, 2010",,,,no,no,,,wfit
no,2010-05-11,22:00,02:00:00,,"Playlist for May 11, 2010",,,,no,no,,,wfit
no,2010-05-18,22:00,02:00:00,,"Playlist for May 18, 2010",,,,no,no,,,wfit
no,2010-05-25,22:00,02:00:00,,"Playlist for May 25, 2010",,,,no,no,,,wfit
no,2010-06-01,22:00,02:00:00,,"Playlist for June 1, 2010",,,,no,no,,,wfit
no,2010-06-08,22:00,02:00:00,,"Playlist for June 8, 2010",,,,no,no,,,wfit
no,2010-06-15,22:00,02:00:00,,"Playlist for June 15, 2010",,,,no,no,,,wfit
no,2010-06-22,22:00,02:00:00,,"Playlist for June 22, 2010",,,,no,no,,,wfit
no,2010-06-29,22:00,02:00:00,,"Playlist for June 29, 2010",,,,no,no,,,wfit
no,2010-08-03,22:00,02:00:00,,"Playlist for August 3, 2010",,,,no,no,,,wfit
no,2010-08-10,22:00,02:00:00,,"Playlist for August 10, 2010",,,,no,no,,,wfit
no,2010-08-17,22:00,02:00:00,,"Playlist for August 17, 2010",,,,no,no,,,wfit
no,2010-08-24,22:00,02:00:00,,"Playlist for August 24, 2010",,,,no,no,,,wfit
no,2010-08-31,22:00,02:00:00,,"Playlist for August 31, 2010",,,,no,no,,,wfit
no,2010-09-07,22:00,02:00:00,,"Playlist for September 7, 2010",,,,no,no,,,wfit
no,2010-09-14,22:00,02:00:00,,"Playlist for September 14, 2010",,,,no,no,,,wfit
no,2010-09-21,22:00,02:00:00,,"Playlist for September 21, 2010",,,,no,no,,,wfit
no,2010-09-26,00:00,,0051,Aint No Rest,,aint-no-rest,,no,no,,,podcast
no,2010-09-26,00:00,,0051,Aint No Rest,,aint-no-rest,,no,no,,,podcast
no,2010-09-28,22:00,02:00:00,,"Playlist for September 28, 2010",,,,no,no,,,wfit
no,2010-10-01,00:00,,0052,Shadow People,,,,no,no,,,podcast
no,2010-10-01,00:00,,0052,Shadow People,,,,no,no,,,podcast
no,2010-10-12,22:00,02:00:00,,"Playlist for October 12, 2010",,,,no,no,,,wfit
no,2010-10-26,22:00,02:00:00,,"Playlist for October 26, 2010",,,,no,no,,,wfit
no,2010-11-02,22:00,02:00:00,,"Playlist for November 2, 2010",,,,no,no,,,wfit
no,2010-11-09,22:00,02:00:00,,"Playlist for November 9, 2010",,,,no,no,,,wfit
no,2010-11-16,22:00,02:00:00,,"Playlist for November 16, 2010",,,,no,no,,,wfit
no,2010-11-23,22:00,02:00:00,,"Playlist for November 23, 2010",,,,no,no,,,wfit
no,2010-11-30,22:00,02:00:00,,"Playlist for November 30, 2010",,,,no,no,,,wfit
no,2010-12-07,22:00,02:00:00,,"Playlist for December 7, 2010",,,,no,no,,,wfit
no,2010-12-14,22:00,02:00:00,,"Playlist for December 14, 2010",,,,no,no,,,wfit
no,2010-12-21,22:00,02:00:00,,"Playlist for December 21, 2010",,,,no,no,,,wfit
no,2011-01-11,22:00,02:00:00,,"Playlist for January 11, 2011",,,,no,no,,,wfit
no,2011-01-18,22:00,02:00:00,,"Playlist for January 18, 2011",,,,no,no,,,wfit
no,2011-02-01,22:00,02:00:00,,"Playlist for February 1, 2011",,,,no,no,,,wfit
no,2011-02-08,22:00,02:00:00,,"Playlist for February 8, 2011",,,,no,no,,,wfit
no,2011-02-15,22:00,02:00:00,,"Playlist for February 15, 2011",,,,no,no,,,wfit
no,2011-02-22,22:00,02:00:00,,"Playlist for February 22, 2011",,,,no,no,,,wfit
no,2011-03-01,22:00,02:00:00,,"Playlist for March 1, 2011",,,,no,no,,,wfit
no,2011-03-03,00:00,,0053,Its Love,,its-love,,no,no,,,podcast
no,2011-03-03,00:00,,0053,Its Love,,its-love,,no,no,,,podcast
no,2011-03-15,22:00,02:00:00,,"Playlist for March 15, 2011",,,,no,no,,,wfit
no,2011-03-20,00:00,,0054,I Like My Pulse,,,,no,no,,,podcast
no,2011-03-20,00:00,,0054,I Like My Pulse,,,,no,no,,,podcast
no,2011-03-22,00:00,,0055,I Have A Dream,,,,no,no,,,podcast
no,2011-03-22,00:00,,0055,I Have A Dream,,,,no,no,,,podcast
no,2011-03-25,00:00,,0056,Hey Boy Get Off My Ferns,,,,no,no,,,podcast
no,2011-03-25,00:00,,0056,Hey Boy Get Off My Ferns,,,,no,no,,,podcast
no,2011-03-29,22:00,02:00:00,,"Playlist for March 29, 2011",,,,no,no,,,wfit
no,2011-04-01,00:00,,0057,Teacher Teacher,,,,no,no,,,podcast
no,2011-04-01,00:00,,0057,Teacher Teacher,,,,no,no,,,podcast
no,2011-04-12,22:00,02:00:00,,"Playlist for April 12, 2011",,,,no,no,,,wfit
no,2011-04-19,22:00,02:00:00,,"Playlist for April 19, 2011",,,,no,no,,,wfit
no,2011-05-03,22:00,02:00:00,,"Playlist for May 3, 2011",,,,no,no,,,wfit
no,2011-05-10,22:00,02:00:00,,"Playlist for May 10, 2011",,,,no,no,,,wfit
no,2011-05-11,00:00,,0058,Scissor Runner,,,,no,no,,,podcast
no,2011-05-11,00:00,,0058,Scissor Runner,,,,no,no,,,podcast
no,2011-05-17,00:00,,0059,Make Them Like It,,,,no,no,,,podcast
no,2011-05-17,00:00,,0059,Make Them Like It,,,,no,no,,,podcast
no,2011-05-24,00:00,,0060,Strict Machine,,,,no,no,,,podcast
no,2011-05-24,00:00,,0060,Strict Machine,,,,no,no,,,podcast
no,2011-05-24,22:00,02:00:00,,"Playlist for May 24, 2011",,,,no,no,,,wfit
no,2011-05-31,00:00,,0061,Sleeping With Girls,,,,no,no,,,podcast
no,2011-05-31,00:00,,0061,Sleeping With Girls,,,,no,no,,,podcast
no,2011-05-31,22:00,02:00:00,,"Playlist for May 31, 2011",,,,no,no,,,wfit
no,2011-06-09,00:00,,0062,I Love Only You,,,,no,no,,,podcast
no,2011-06-09,00:00,,0062,I Love Only You,,,,no,no,,,podcast
no,2011-06-14,00:00,,0063,Introduction,,,,no,no,,,podcast
no,2011-06-14,00:00,,0063,Introduction,,,,no,no,,,podcast
no,2011-06-14,22:00,02:00:00,,"Playlist for June 14, 2011",,,,no,no,,,wfit
no,2011-06-21,00:00,,0064,I Know,,,,no,no,,,podcast
no,2011-06-21,00:00,,0064,I Know,,,,no,no,,,podcast
no,2011-06-21,22:00,02:00:00,,"Playlist for June 21, 2011",,,,no,no,,,wfit
no,2011-06-28,00:00,,0065,Dibidy Dop,,,,no,no,,,podcast
no,2011-06-28,00:00,,0065,Dibidy Dop,,,,no,no,,,podcast
no,2011-06-28,22:00,02:00:00,,"Playlist for June 28, 2011",,,,no,no,,,wfit
no,2011-07-05,00:00,,0066,Suddenly Upsidedown,,,,no,no,,,podcast
no,2011-07-05,00:00,,0066,Suddenly Upsidedown,,,,no,no,,,podcast
no,2011-07-12,00:00,,0067,Prisencolinensinaiciusol,,,,no,no,,,podcast
no,2011-07-12,00:00,,0067,Prisencolinensinaiciusol,,,,no,no,,,podcast
no,2011-07-20,00:00,,0068,Sometimes,,,,no,no,,,podcast
no,2011-07-20,00:00,,0068,Sometimes,,,,no,no,,,podcast
no,2011-07-26,00:00,,0069,Heart,,,,no,no,,,podcast
no,2011-07-26,00:00,,0069,Heart,,,,no,no,,,podcast
no,2011-08-02,00:00,,0070,Zebra,,,,no,no,,,podcast
no,2011-08-02,00:00,,0070,Zebra,,,,no,no,,,podcast
no,2011-08-09,00:00,,0071,Hov,,,,no,no,,,podcast
no,2011-08-09,00:00,,0071,Hov,,,,no,no,,,podcast
no,2011-08-16,00:00,,0072,Sprawl,,,,no,no,,,podcast
no,2011-08-16,00:00,,0072,Sprawl,,,,no,no,,,podcast
no,2011-09-07,00:00,,0073,Tongue Clucking Grammarian,,,,no,no,,,podcast
no,2011-09-07,00:00,,0073,Tongue Clucking Grammarian,,,,no,no,,,podcast
no,2011-09-13,00:00,,0074,Where Is My Mind,,,,no,no,,,podcast
no,2011-09-13,00:00,,0074,Where Is My Mind,,,,no,no,,,podcast
no,2011-09-13,22:00,02:00:00,,"Playlist for September 13, 2011",,,,no,no,,,wfit
no,2011-09-20,00:00,,0075,Blue Eyed Black Boy,,,,no,no,,,podcast
no,2011-09-20,00:00,,0075,Blue Eyed Black Boy,,,,no,no,,,podcast
no,2011-09-27,00:00,,0076,Golden Phone,,,,no,no,,,podcast
no,2011-09-27,00:00,,0076,Golden Phone,,,,no,no,,,podcast
no,2011-09-27,22:00,02:00:00,,"Playlist for September 27, 2011",,,,no,no,,,wfit
no,2011-10-04,00:00,,0077,No Room To Live,,,,no,no,,,podcast
no,2011-10-04,00:00,,0077,No Room To Live,,,,no,no,,,podcast
no,2011-10-04,22:00,02:00:00,,"Playlist for October 4, 2011",,,,no,no,,,wfit
no,2011-10-11,00:00,,0078,Magnetize Your Food,,,,no,no,,,podcast
no,2011-10-11,00:00,,0078,Magnetize Your Food,,,,no,no,,,podcast
no,2011-10-11,22:00,02:00:00,,"Playlist for October 11, 2011",,,,no,no,,,wfit
no,2011-10-18,00:00,,0079,The Ice Of Boston,,,,no,no,,,podcast
no,2011-10-18,00:00,,0079,The Ice Of Boston,,,,no,no,,,podcast
no,2011-10-18,22:00,02:00:00,,"Playlist for October 18, 2011",,,,no,no,,,wfit
no,2011-10-25,00:00,,0080,Snake Mistakes,,,,no,no,,,podcast
no,2011-10-25,00:00,,0080,Snake Mistakes,,,,no,no,,,podcast
no,2011-10-25,22:00,02:00:00,,"Playlist for October 25, 2011",,,,no,no,,,wfit
no,2011-11-01,00:00,,0081,Lamentation Walloo,,,,no,no,,,podcast
no,2011-11-01,00:00,,0081,Lamentation Walloo,,,,no,no,,,podcast
no,2011-11-01,22:00,02:00:00,,"Playlist for November 1, 2011",,,,no,no,,,wfit
no,2011-11-08,00:00,,0082,Need Seed,,,,no,no,,,podcast
no,2011-11-08,00:00,,0082,Need Seed,,,,no,no,,,podcast
no,2011-11-15,00:00,,0083,Radio Apeshot,,,,no,no,,,podcast
no,2011-11-15,00:00,,0083,Radio Apeshot,,,,no,no,,,podcast
no,2011-11-22,00:00,,0084,How About The Boys,,,,no,no,,,podcast
no,2011-11-22,00:00,,0084,How About The Boys,,,,no,no,,,podcast
no,2011-11-22,22:00,02:00:00,,"Playlist for November 22, 2011",,,,no,no,,,wfit
no,2011-11-29,00:00,,0085,Zorbing,,,,no,no,,,podcast
no,2011-11-29,00:00,,0085,Zorbing,,,,no,no,,,podcast
no,2011-11-29,22:00,02:00:00,,"Playlist for November 29, 2011",,,,no,no,,,wfit
no,2011-12-06,00:00,,0086,Badge,,,,no,no,,,podcast
no,2011-12-06,00:00,,0086,Badge,,,,no,no,,,podcast
no,2011-12-13,00:00,,0087,Bike Thief,,,,no,no,,,podcast
no,2011-12-13,00:00,,0087,Bike Thief,,,,no,no,,,podcast
no,2011-12-20,00:00,,0088,Moleslica,,,,no,no,,,podcast
no,2011-12-20,00:00,,0088,Moleslica,,,,no,no,,,podcast
no,2011-12-20,22:00,02:00:00,,"Playlist for December 20, 2011",,,,no,no,,,wfit
no,2012-01-03,22:00,02:00:00,,"Playlist for January 3, 2012",,,,no,no,,,wfit
no,2012-01-10,00:00,,0089,Dont Go To Liverpool,,dont-go-to-liverpool,,no,no,,,podcast
no,2012-01-10,00:00,,0089,Dont Go To Liverpool,,dont-go-to-liverpool,,no,no,,,podcast
no,2012-01-10,22:00,02:00:00,,"Playlist for January 10, 2012",,,,no,no,,,wfit
yes,2012-01-17,00:00,00:59:48,0090,Lather Rinse Repeat,"Acoustic punk rock is always a dicey proposition, but The Future Kings of Nowhere and Shayne O’Neill rip through the genre like a blowtorch on toilet paper. Slick!",0090.lather-rinse-repeat.mp3,28706112,no,no,0090-future-kings-of-nowhere.jpg,The Future Kings of Nowhere,podcast
no,2012-01-17,22:00,02:00:00,,"Playlist for January 17, 2012",,,,no,no,,,wfit
yes,2012-01-24,00:00,00:59:31,0091,Fit But You Know It,"There’s something simply ADORABLE about a rapper with a British accent. Mike Skinner is no longer fronting the project, but expect more great things from him.",0091.fit-but-you-know-it.mp3,28569024,no,no,0091-the-streets.jpg,The Streets,podcast
yes,2012-01-31,00:00,01:00:31,0092,Nero Worst Dressed,"It’s a hard turn to the left from Mexican funk pop to electronic soundscapes, but Sara Valenzuela has made the transition well.",0092.nero-worst-dressed.mp3,29045760,no,no,0092-sara-valenzuela.jpg,Sara Valenzuela,podcast
no,2012-01-31,22:00,02:00:00,,"Playlist for January 31, 2012",,,,no,no,,,wfit
yes,2012-02-07,00:00,00:59:46,0093,Take Stuff From Work,"It must be heartbreaking to be a slapdash concoction of musical genius… in Alabama. The Sex Clark Five were done and gone by the time the world really took notice, but we can still enjoy the limited artifacts they left behind.",0093.take-stuff-from-work.mp3,28688064,no,no,0093-sex-clark-five.jpg,Sex Clark Five,podcast
no,2012-02-07,22:00,02:00:00,,"Playlist for February 7, 2012",,,,no,no,,,wfit
yes,2012-02-14,00:00,00:59:16,0094,Crown The Clown,"Despite coming from the hollers of Portland, Oregon, Hillstomp still manage to churn out the kind of thrumming crackle only a guitar-and-washboard duo can provide.",0094.crown-the-clown.mp3,28450752,no,no,0094-hillstomp.jpg,Hillstomp,podcast
no,2012-02-14,22:00,02:00:00,,"Playlist for February 14, 2012",,,,no,no,,,wfit
yes,2012-02-17,00:00,01:01:01,0095,Complicated Music Hour,It’s worth repeating: This is a music hour that is complicated. Any other interpretations based on how you chose to associate the words are strictly your problem.,0095.complicated-music-hour.mp3,29285563,no,no,0095-secret-chiefs-3.jpg,Secret Chiefs 3,podcast
