airdate,path,file_mp3,episode,name,summary,duration,bytes,explicit,block,image
2012-01-17,podcast/0001-0100/,0090.lather-rinse-repeat.mp3,0090,"Lather, Rinse, Repeat","January 17, 2012",00:59:48,28706112,no,no,
2012-01-24,podcast/0001-0100/,0091.fit-but-you-know-it.mp3,0091,Fit But You Know It,"January 24, 2012",00:59:31,28569024,no,no,
2012-01-31,podcast/0001-0100/,0092.nero-worst-dressed.mp3,0092,Nero (Worst Dressed),"January 31, 2012",01:00:31,29045760,no,no,
2012-02-07,podcast/0001-0100/,0093.take-stuff-from-work.mp3,0093,Take Stuff From Work,"February 7, 2012",00:59:46,28688064,no,no,
2012-02-14,podcast/0001-0100/,0094.crown-the-clown.mp3,0094,Crown the Clown,"February 14, 2012",00:59:16,28450752,no,no,
2012-02-17,podcast/0001-0100/,0095.complicated-music-hour.mp3,0095,The Complicated Music Hour,"February 17, 2012",01:01:01,29285563,no,no,
2012-03-06,podcast/0001-0100/,0096.gotta-go.mp3,0096,Gotta Go,"March 6, 2012",00:59:56,28769856,no,no,
2012-03-14,podcast/0001-0100/,0097.bicycle-kid.mp3,0097,Bicycle Kid,"March 14, 2012",00:57:48,27746688,no,no,
2012-03-20,podcast/0001-0100/,0098.pickin-the-chicken.mp3,0098,Pickin' The Chicken,"March 20, 2012",00:58:53,28265472,no,no,
2012-03-27,podcast/0001-0100/,0099.revu-rockers.mp3,0099,Revu Rockers,"March 27, 2012",01:01:07,29335872,no,no,
2016-09-06,podcast/0001-0100/,0100.keep-brevard-weird.mp3,0100,Keep Brevard Weird,"September 6, 2016",02:14:16,96679021,no,no,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,